946 10000
OR 2 1
FLIP 1 918
OR 2 1
XOR 2 1
AND 2 1
XOR 2 1
AND 2 1
FLIP 1 537
FLIP 2 874
SET 1 586
SET 1 785
XOR 1 2
XOR 1 2
FLIP 2 57
OR 2 1
AND 2 1
OR 2 1
XOR 1 2
AND 1 2
AND 1 2
XOR 2 1
OR 2 1
AND 2 1
AND 1 2
SET 1 310
SET 1 741
XOR 2 1
AND 2 1
FLIP 1 2
OR 2 1
AND 1 2
FLIP 1 50
SET 1 324
OR 2 1
XOR 2 1
XOR 2 1
SET 2 878
FLIP 2 174
OR 2 1
SET 1 307
SET 1 399
SET 1 535
AND 2 1
XOR 2 1
SET 2 494
OR 1 2
FLIP 2 879
OR 1 2
AND 1 2
XOR 2 1
OR 1 2
SET 1 678
FLIP 1 910
AND 1 2
AND 1 2
XOR 1 2
SET 1 923
OR 2 1
XOR 2 1
OR 2 1
FLIP 2 18
AND 1 2
OR 2 1
XOR 1 2
SET 1 729
OR 1 2
OR 2 1
AND 2 1
AND 1 2
FLIP 1 942
FLIP 2 248
XOR 2 1
SET 2 336
SET 1 70
AND 2 1
AND 1 2
FLIP 1 348
SET 2 83
AND 2 1
SET 1 913
XOR 2 1
SET 2 374
SET 2 385
SET 2 230
SET 1 398
FLIP 1 323
FLIP 2 295
SET 1 601
XOR 2 1
FLIP 2 31
OR 1 2
OR 2 1
XOR 1 2
SET 2 130
OR 2 1
XOR 2 1
AND 1 2
FLIP 2 807
SET 2 336
AND 1 2
FLIP 1 516
OR 1 2
XOR 2 1
OR 1 2
FLIP 1 791
FLIP 1 112
XOR 2 1
SET 2 203
SET 2 487
SET 2 918
FLIP 1 659
XOR 2 1
XOR 1 2
OR 2 1
SET 2 282
FLIP 1 464
OR 1 2
AND 2 1
XOR 1 2
OR 1 2
XOR 1 2
OR 1 2
XOR 1 2
SET 2 847
OR 2 1
FLIP 2 75
OR 1 2
SET 1 479
XOR 1 2
AND 2 1
SET 2 700
AND 2 1
SET 1 812
XOR 2 1
SET 2 804
XOR 1 2
AND 1 2
OR 1 2
AND 2 1
XOR 2 1
OR 1 2
OR 2 1
SET 1 660
FLIP 2 736
FLIP 1 151
FLIP 2 352
XOR 2 1
SET 1 278
AND 1 2
SET 2 556
FLIP 2 140
FLIP 2 544
XOR 1 2
FLIP 1 874
FLIP 2 2
OR 2 1
AND 2 1
FLIP 2 900
OR 1 2
AND 1 2
SET 2 491
FLIP 2 810
FLIP 1 913
XOR 1 2
XOR 1 2
SET 1 397
SET 2 136
AND 1 2
SET 2 206
SET 1 119
XOR 1 2
XOR 2 1
AND 1 2
SET 1 398
XOR 1 2
FLIP 1 429
FLIP 1 133
XOR 1 2
FLIP 1 465
SET 1 528
AND 1 2
XOR 2 1
AND 1 2
OR 1 2
SET 2 483
OR 1 2
XOR 1 2
AND 2 1
FLIP 2 212
FLIP 1 684
XOR 2 1
AND 2 1
OR 2 1
AND 1 2
AND 1 2
FLIP 2 352
OR 1 2
FLIP 2 137
AND 2 1
XOR 1 2
AND 2 1
OR 1 2
